Neighborhood,ID,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Caf√©,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
O'Connor-Parkview,54,100.0,0.0,33.33333333333333,33.33333333333333,50.0,33.33333333333333,62.5,0.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,50.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,9.090909090909092,20.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,40.0,100.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,14.285714285714285,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,100.0,50.0,14.285714285714285,0.0,0.0
Thorncliffe Park,55,100.0,0.0,33.33333333333333,0.0,75.0,33.33333333333333,50.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,40.0,66.66666666666666,0.0,0.0,0.0,0.0,37.5,0.0,0.0,45.45454545454545,20.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,10.0,100.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,14.285714285714285,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
Leaside-Bennington,56,100.0,0.0,33.33333333333333,33.33333333333333,50.0,66.66666666666666,62.5,0.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,33.33333333333333,0.0,0.0,0.0,0.0,37.5,100.0,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,33.33333333333333,0.0,0.0,20.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
Broadview North,57,0.0,0.0,33.33333333333333,33.33333333333333,75.0,0.0,50.0,0.0,0.0,20.0,33.33333333333333,0.0,46.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,66.66666666666666,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,14.285714285714285,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,20.0,100.0,0.0,50.0,0.0,14.285714285714285,0.0,0.0
Old East York,58,100.0,0.0,33.33333333333333,66.66666666666666,50.0,0.0,37.5,0.0,0.0,20.0,16.666666666666664,25.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,60.0,66.66666666666666,0.0,0.0,100.0,0.0,37.5,0.0,0.0,18.181818181818183,20.0,0.0,0.0,100.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,14.285714285714285,0.0,0.0
Danforth East York,59,100.0,0.0,33.33333333333333,66.66666666666666,50.0,0.0,25.0,0.0,0.0,20.0,16.666666666666664,25.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,60.0,66.66666666666666,0.0,0.0,100.0,0.0,12.5,0.0,0.0,18.181818181818183,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,14.285714285714285,0.0,0.0
Woodbine-Lumsden,60,0.0,0.0,66.66666666666666,33.33333333333333,75.0,33.33333333333333,50.0,0.0,0.0,60.0,0.0,25.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,33.33333333333333,0.0,0.0,100.0,0.0,37.5,0.0,0.0,9.090909090909092,20.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,0.0,0.0,14.285714285714285,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
Taylor-Massey,61,0.0,0.0,66.66666666666666,66.66666666666666,50.0,33.33333333333333,37.5,0.0,0.0,60.0,0.0,25.0,20.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,100.0,33.33333333333333,20.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,14.285714285714285,0.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0
East End-Danforth,62,0.0,0.0,66.66666666666666,33.33333333333333,50.0,33.33333333333333,25.0,0.0,0.0,80.0,0.0,25.0,20.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,0.0,100.0,33.33333333333333,20.0,0.0,0.0,0.0,0.0,0.0,55.55555555555556,0.0,0.0,0.0,0.0,14.285714285714285,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
The Beaches,63,0.0,0.0,66.66666666666666,33.33333333333333,50.0,33.33333333333333,50.0,0.0,0.0,80.0,0.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,100.0,100.0,0.0,12.5,0.0,50.0,0.0,0.0,0.0,50.0,0.0,80.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,40.0,0.0,0.0,100.0,0.0,100.0,33.33333333333333,10.0,0.0,0.0,100.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Woodbine Corridor,64,0.0,0.0,66.66666666666666,33.33333333333333,50.0,33.33333333333333,25.0,0.0,0.0,20.0,0.0,25.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,80.0,33.33333333333333,0.0,0.0,100.0,0.0,25.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,100.0,0.0,100.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
Greenwood-Coxwell,65,0.0,0.0,66.66666666666666,66.66666666666666,25.0,0.0,12.5,0.0,0.0,20.0,0.0,25.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,60.0,50.0,0.0,0.0,100.0,0.0,37.5,0.0,0.0,9.090909090909092,0.0,0.0,0.0,100.0,0.0,50.0,0.0,30.0,0.0,0.0,100.0,0.0,0.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,28.57142857142857,0.0,0.0
Danforth,66,0.0,0.0,66.66666666666666,100.0,25.0,0.0,25.0,0.0,0.0,40.0,16.666666666666664,25.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,60.0,66.66666666666666,0.0,0.0,100.0,0.0,25.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,50.0,0.0,14.285714285714285,0.0,0.0
Playter Estates-Danforth,67,0.0,0.0,33.33333333333333,33.33333333333333,50.0,0.0,25.0,0.0,0.0,0.0,16.666666666666664,0.0,53.333333333333336,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,60.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,40.0,0.0,0.0,100.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,40.0,100.0,0.0,50.0,0.0,14.285714285714285,0.0,0.0
North Riverdale,68,0.0,0.0,33.33333333333333,66.66666666666666,25.0,0.0,37.5,0.0,0.0,0.0,16.666666666666664,25.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,60.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,40.0,0.0,0.0,100.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,40.0,0.0,0.0,50.0,0.0,14.285714285714285,0.0,0.0
Blake-Jones,69,0.0,0.0,33.33333333333333,66.66666666666666,25.0,0.0,25.0,0.0,0.0,0.0,16.666666666666664,25.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,60.0,66.66666666666666,0.0,0.0,100.0,0.0,12.5,0.0,0.0,18.181818181818183,0.0,0.0,0.0,100.0,0.0,50.0,0.0,10.0,0.0,0.0,100.0,0.0,0.0,55.55555555555556,0.0,0.0,0.0,0.0,14.285714285714285,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,50.0,20.0,0.0,0.0,50.0,0.0,28.57142857142857,0.0,0.0
South Riverdale,70,0.0,0.0,66.66666666666666,66.66666666666666,0.0,0.0,12.5,100.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,20.0,16.666666666666664,0.0,0.0,0.0,0.0,12.5,0.0,0.0,36.36363636363637,80.0,0.0,0.0,100.0,0.0,50.0,33.33333333333333,20.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,0.0,0.0,0.0,50.0,14.285714285714285,0.0,0.0
Cabbagetown-South St.James Town,71,0.0,0.0,66.66666666666666,33.33333333333333,25.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,80.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,80.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,33.33333333333333,28.57142857142857,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,100.0,50.0,60.0,100.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0
Regent Park,72,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,25.0,100.0,0.0,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,80.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,80.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,33.33333333333333,42.857142857142854,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,100.0,50.0,60.0,100.0,0.0,0.0,50.0,14.285714285714285,0.0,0.0
Moss Park,73,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,12.5,100.0,0.0,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,100.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,33.33333333333333,85.71428571428571,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0
North St.James Town,74,0.0,0.0,33.33333333333333,33.33333333333333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,80.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636363636363,100.0,0.0,0.0,0.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,100.0,0.0,33.33333333333333,57.14285714285714,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,0.0,0.0,50.0,60.0,100.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0
Church-Yonge Corridor,75,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,80.0,0.0,0.0,0.0,0.0,50.0,33.33333333333333,10.0,100.0,0.0,0.0,0.0,0.0,11.11111111111111,100.0,100.0,0.0,33.33333333333333,71.42857142857143,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0
Bay Street Corridor,76,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,80.0,0.0,0.0,0.0,0.0,50.0,33.33333333333333,10.0,100.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0,100.0,0.0,66.66666666666666,71.42857142857143,0.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterfront Communities-The Island,77,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,12.5,100.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,33.33333333333333,0.0,10.0,0.0,100.0,0.0,0.0,25.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363636363637,60.0,0.0,0.0,0.0,0.0,50.0,33.33333333333333,10.0,0.0,0.0,0.0,0.0,100.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,71.42857142857143,0.0,20.0,66.66666666666666,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Kensington-Chinatown,78,0.0,0.0,66.66666666666666,66.66666666666666,0.0,0.0,37.5,0.0,0.0,0.0,33.33333333333333,0.0,53.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,0.0,0.0,0.0,0.0,0.0,50.0,100.0,10.0,0.0,0.0,0.0,0.0,100.0,33.33333333333333,0.0,0.0,0.0,0.0,57.14285714285714,0.0,40.0,33.33333333333333,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
University,79,0.0,0.0,0.0,66.66666666666666,25.0,0.0,37.5,0.0,0.0,0.0,33.33333333333333,0.0,53.333333333333336,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,20.0,0.0,10.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,100.0,0.0,33.33333333333333,57.14285714285714,0.0,40.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,40.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0
Palmerston-Little Italy,80,0.0,0.0,33.33333333333333,100.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,53.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,20.0,0.0,20.0,0.0,0.0,0.0,100.0,20.0,100.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,42.857142857142854,0.0,30.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,14.285714285714285,0.0,0.0
Trinity-Bellwoods,81,0.0,0.0,66.66666666666666,100.0,0.0,0.0,37.5,0.0,0.0,0.0,16.666666666666664,0.0,46.666666666666664,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,20.0,0.0,10.0,0.0,0.0,0.0,100.0,20.0,100.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,42.857142857142854,0.0,30.0,33.33333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,14.285714285714285,0.0,0.0
