ID,Neighborhood,Borough,Avg House Price,Avg Income
1,West Humber-Clairville,Etobicoke,587000,94000
2,Mount Olive-Silverstone-Jamestown,Etobicoke,578000,79000
3,Thistletown-Beaumond Heights,Etobicoke,898000,94000
4,Rexdale-Kipling,Etobicoke,744000,91000
5,Elms-Old Rexdale,Etobicoke,600000,82000
6,Kingsview Village-The Westway,Etobicoke,577000,87000
7,Willowridge-Martingrove-Richview,Etobicoke,969000,105000
8,Humber Heights-Westmount,Etobicoke,839000,102000
9,Edenbridge-Humber Valley,Etobicoke,1600000,254000
10,Princess-Rosethorn,Etobicoke,1900000,249000
11,Eringate-Centennial-West Deane,Etobicoke,994000,128000
12,Markland Wood,Etobicoke,933000,149000
13,Etobicoke West Mall,Etobicoke,628000,90000
14,Islington-City Centre West,Etobicoke,849000,117000
15,Kingsway South,Etobicoke,1900000,337000
16,Stonegate-Queensway,Etobicoke,1030000,142500
17,Mimico,Etobicoke,788500,104500
18,New Toronto,Etobicoke,956000,87000
19,Long Branch,Etobicoke,899000,97000
20,Alderwood,Etobicoke,1100000,118000
21,Humber Summit,North York,789000,88000
22,Humbermede,North York,671000,79000
23,Pelmo Park-Humberlea,North York,737000,98500
24,Black Creek,North York,514000,65000
25,Glenfield-Jane Heights,North York,661000,75000
26,Downsview-Roding-CFB,North York,733000,85000
27,York University Heights,North York,665000,77000
28,Rustic,North York,1000000,74000
29,Maple Leaf,North York,1000000,97000
30,Brookhaven-Amesbury,North York,686000,78000
31,Yorkdale-Glen Park,North York,1024500,111500
32,Englemount-Lawrence,North York,954000,88000
33,Clanton Park,North York,1000000,118000
34,Bathurst Manor,North York,1100000,126000
35,Westminster-Branson,North York,693000,82000
36,Newtonbrook West,North York,1100000,101000
37,Willowdale West,North York,962000,100000
38,Lansing-Westgate,North York,1350000,176500
39,Bedford Park-Nortown,North York,2500000,315666
40,St.Andrew-Windfields,North York,2500000,263000
41,Bridle Path-Sunnybrook-York Mills,North York,4425000,745250
42,Banbury-Don Mills,North York,1802500,200000
43,Victoria Village,North York,846000,88000
44,Flemingdon Park,North York,496000,70000
45,Parkwoods-Donalda,North York,1078666,144666
46,Pleasant View,North York,703000,93000
47,Don Valley Village,North York,863000,95000
48,Hillcrest Village,North York,899000,104000
49,Bayview Woods-Steeles,North York,1100000,124000
50,Newtonbrook East,North York,1100000,101000
51,Willowdale East,North York,962000,100000
52,Bayview Village,North York,838000,111000
53,Henry Farm,North York,623000,87000
54,O'Connor-Parkview,East York,1160333,115333
55,Thorncliffe Park,East York,606000,67000
56,Leaside-Bennington,East York,2100000,378000
57,Broadview North,East York,1000000,87000
58,Old East York,East York,1200000,121000
59,Danforth East York,East York,1200000,107000
60,Woodbine-Lumsden,East York,1100000,114000
61,Taylor-Massey,East York,638000,69000
62,East End-Danforth,Central Toronto,1000000,117000
63,The Beaches,Central Toronto,1500000,189000
64,Woodbine Corridor,Central Toronto,1100000,116000
65,Greenwood-Coxwell,Central Toronto,1100000,114000
66,Danforth,Central Toronto,1200000,117000
67,Playter Estates-Danforth,Central Toronto,1550000,144500
68,North Riverdale,Central Toronto,1700000,161000
69,Blake-Jones,Central Toronto,1200000,109000
70,South Riverdale,Central Toronto,1100000,115500
71,Cabbagetown-South St.James Town,Central Toronto,1400000,138000
72,Regent Park,Central Toronto,658000,67000
73,Moss Park,Central Toronto,762666,107000
74,North St.James Town,Central Toronto,694000,69000
75,Church-Yonge Corridor,Central Toronto,749500,83500
76,Bay Street Corridor,Central Toronto,861000,163000
77,Waterfront Communities-The Island,Central Toronto,803000,132333
78,Kensington-Chinatown,Central Toronto,962666,77333
79,University,Central Toronto,1700000,131000
80,Palmerston-Little Italy,Central Toronto,1600000,120000
81,Trinity-Bellwoods,Central Toronto,1450000,127000
82,Niagara,Central Toronto,746666,124666
83,Dufferin Grove,Central Toronto,1250000,95500
84,Little Portugal,Central Toronto,773000,108000
85,South Parkdale,Central Toronto,1300000,61000
86,Roncesvalles,Central Toronto,1200000,107000
87,High Park-Swansea,Central Toronto,1242500,130000
88,High Park North,Central Toronto,1500000,120000
89,Runnymede-Bloor West Village,Central Toronto,1600000,191000
90,Junction Area,Central Toronto,916500,105500
91,Weston-Pellam Park,Central Toronto,941000,73000
92,Corso Italia-Davenport,Central Toronto,1430500,116000
93,Dovercourt-Wallace Emerson-Junction,Central Toronto,1132500,99250
94,Wychwood,Central Toronto,1500000,135000
95,Annex,Central Toronto,1633333,211666
96,Casa Loma,Central Toronto,1466666,301666
97,Yonge-St.Clair,Central Toronto,1900000,239500
98,Rosedale-Moore Park,Central Toronto,2550000,570500
99,Mount Pleasant East,Central Toronto,1100000,129000
100,Yonge-Eglinton,Central Toronto,1500000,222000
101,Forest Hill South,Central Toronto,3200000,366000
102,Forest Hill North,Central Toronto,2100000,198000
103,Lawrence Park South,Central Toronto,1733333,262333
104,Mount Pleasant West,Central Toronto,1100000,129000
105,Lawrence Park North,Central Toronto,2750000,323500
106,Humewood-Cedarvale,York,1400000,133000
107,Oakwood Village,York,1100000,93000
108,Briar Hill-Belgravia,York,841000,86000
109,Caledonia-Fairbank,York,943000,89000
110,Keelesdale-Eglinton West,York,805000,84000
111,Rockcliffe-Smythe,York,840000,76000
112,Beechborough-Greenbrook,York,997000,73000
113,Weston,York,695000,70000
114,Lambton Baby Point,York,1633333,202000
115,Mount Dennis,York,691000,74000
116,Steeles,Scarborough,812000,96000
117,L'Amoreaux,Scarborough,732000,93000
118,Tam O'Shanter-Sullivan,Scarborough,768000,81000
119,Wexford/Maryvale,Scarborough,903000,92500
120,Clairlea-Birchmount,Scarborough,836500,97500
121,Oakridge,Scarborough,808000,61000
122,Birchcliffe-Cliffside,Scarborough,1019500,114500
123,Cliffcrest,Scarborough,1100000,112000
124,Kennedy Park,Scarborough,712000,74000
125,Ionview,Scarborough,726000,75000
126,Dorset Park,Scarborough,614000,81000
127,Bendale,Scarborough,651000,84000
128,Agincourt South-Malvern West,Scarborough,687000,92000
129,Agincourt North,Scarborough,687000,92000
130,Milliken,Scarborough,764000,91000
131,Rouge,Scarborough,855500,131000
132,Malvern,Scarborough,585000,90000
133,Centennial Scarborough,Scarborough,1000000,152000
134,Highland Creek,Scarborough,1100000,134000
135,Morningside,Scarborough,830000,106000
136,West Hill,Scarborough,683000,82000
137,Woburn,Scarborough,849000,78000
138,Eglinton East,Scarborough,644000,76000
139,Scarborough Village,Scarborough,687000,76000
140,Guildwood,Scarborough,888000,126000
